Restaurant Name,Original Location,Original City,Original State,Original Country,Notes,Search Status,Found Address,Source URL,Latitude,Longitude,Geocoded Address,Precision Level
Pastis,Nashville,Nashville,TN,USA,,city_level_geocoded,One of the best meals I,https://www.yelp.com/biz/pastis-nashville,36.1622767,-86.7742984,"Nashville, Davidson County, Middle Tennessee, Tennessee, United States",city
Kush,Wynnwood,Wynnwood,FL,USA,,city_level_geocoded,s tastiest burger to the most renowned cardiologist,https://www.yelp.com/biz/kush-wynwood-miami-2,28.790106,-81.2520614,"Wynnwood Park, Wynwood, Sanford, Seminole County, Florida, United States",city
Giada's,Las Vegas,Las Vegas,NV,USA,At the Cromwell,city_level_geocoded,"signature Italian fare with California influences but in a fast, casual format",https://www.yelp.com/biz/pronto-by-giada-las-vegas-3,36.1674263,-115.1484131,"Las Vegas, Clark County, Nevada, United States",city
Aleria,Athens,Athens,,Greece,,city_level_geocoded,,,37.9755648,23.7348324,"Αθήνα, Δήμος Αθηναίων, Περιφερειακή Ενότητα Κεντρικού Τομέα Αθηνών, Περιφέρεια Αττικής, Αποκεντρωμένη Διοίκηση Αττικής, 105 57, Ελλάς",city
Fisherman's Corner,Perdido,Perdido Key,FL,USA,,city_level_geocoded,tastiest burger to the most renowned cardiologist,https://m.yelp.com/search?find_desc=fisherman%27s+corner&find_loc=Perdido+Key%2C+FL+32507,30.3180487,-87.4259275,"Shops at Perdido Key, Escambia County, Florida, United States",city
Fat Clemenza's,Miramar Beach,Miramar Beach,FL,USA,,found_and_geocoded,302 trave,https://www.tripadvisor.com/ShowUserReviews-g1479123-d1060079-r807285607-Fat_Clemenza_s-Miramar_Beach_Destin_Florida.html,43.8415748,12.99909,"Trave, Centinarola, Fano, Pesaro e Urbino, 61032, Italia",restaurant
Foxy's,Jost Van Dyke,Jost Van Dyke,,British Virgin Islands,,city_level_geocoded,,,18.4468459,-64.7490427,"Jost Van Dyke, British Virgin Islands",city
Merriman's,Waimea,Waimea,HI,USA,Big Island,found_and_geocoded,"65-1227 Opelo Rd,",https://www.yelp.com/biz/merrimans-waimea-waimea,20.0231571,-155.676594,"Kenneth Ficher, OD, 65-1227, Opelo Road, Pu'u Opelu, Waimea/Kamuela, Hawaiʻi County, Hawaii, 96743, United States",restaurant
Il Cortille,Little Italy NYC,New York,NY,USA,,city_level_geocoded,Honest friendly owner,https://www.tripadvisor.com/ShowUserReviews-g60763-d424422-r627940122-Il_Cortile_Restaurant-New_York_City_New_York.html,40.7127281,-74.0060152,"City of New York, New York, United States",city
Frontier House,,,,,Location not specified,skipped_missing_data,,,,,,failed
Hungry Fisherman,,,,,Location not specified,skipped_missing_data,,,,,,failed
Border Jerk,Jamaica,,,,Between Montego Bay and Whitehouse,skipped_missing_data,,,,,,failed
Creeds Steak and Seafood,King of Prussia,King of Prussia,PA,USA,,city_level_geocoded,,,40.0947624,-75.3851334,"King of Prussia, Upper Merion Township, Montgomery County, Pennsylvania, 19406, United States",city
Market Street Grill,West Chester,West Chester,PA,USA,,found_and_geocoded,"St, Ste",https://www.yelp.com/biz/market-street-grill-west-chester,49.02006,3.5305871,"Centre d'incendie et de secours de Saint-Eugène, Rue du Cimetière, Saint-Eugène, Château-Thierry, Aisne, Hauts-de-France, France métropolitaine, 02330, France",restaurant
Hogfish Bar & Grill,Stock Island,Stock Island,FL,USA,,city_level_geocoded,"6810 Front St,",https://www.yelp.com/biz/hogfish-bar-and-grill-stock-island,24.5738825,-81.74314,"Stock Island, Key West, Monroe County, Florida, United States",city
Old Pilot Hill,Between Greeneville/Erwin/Jonesboro,,TN,USA,,skipped_missing_data,,,,,,failed
The Cookie Jar Cafe,Dunlap,Dunlap,TN,USA,,found_and_geocoded,243 trave,https://www.tripadvisor.com/ShowUserReviews-g55016-d2428585-r777178775-The_Cookie_Jar-Dunlap_Tennessee.html,43.8415748,12.99909,"Trave, Centinarola, Fano, Pesaro e Urbino, 61032, Italia",restaurant
Red Pony,Franklin,Franklin,TN,USA,Downtown,city_level_geocoded,Produce Craft Cocktails Extensive Wine List Since it opening in,https://www.yelp.com/biz/red-pony-franklin-3,35.925206,-86.8689419,"Franklin, Williamson County, Middle Tennessee, Tennessee, United States",city
Doug's seafood,Bonita Springs,Bonita Springs,FL,USA,,city_level_geocoded,tastiest burger to the most renowned cardiologist,https://m.yelp.com/biz/dougs-seafood-bonita-springs,26.339806,-81.7786972,"Bonita Springs, Lee County, Florida, United States",city
Cafe Latino,Sorrento,Sorrento,,Italy,,city_level_geocoded,The food earns rave reviews for its delicious flavors and generous portions,https://www.tripadvisor.com/Restaurant_Review-g187782-d1549291-Reviews-Cafe_Latino_Sorrento-Sorrento_Province_of_Naples_Campania.html,40.624906,14.374836,"Sorrento, Napoli, Campania, 80067, Italia",city
Cafe Monarch,Scottsdale,Scottsdale,AZ,USA,,city_level_geocoded,,,33.4942189,-111.926018,"Scottsdale, Maricopa County, Arizona, United States",city
The Good Oak,London,London,,England,Notting Hill area,city_level_geocoded,,,51.4893335,-0.1440551,"London, Greater London, England, United Kingdom",city
Momo,London,London,,England,Mayfair area,city_level_geocoded,,,51.4893335,-0.1440551,"London, Greater London, England, United Kingdom",city
Comptoir Darna,Marrakech,Marrakech,,Morocco,,city_level_geocoded,,,31.6258257,-7.9891608,"Marrakech ⵎⵕⵕⴰⴽⵯⵛ مراكش, Pachalik de Marrakech, Préfecture de Marrakech عمالة مراكش, Marrakech-Safi ⵎⵕⵕⴰⴽⵛ-ⴰⵙⴼⵉ مراكش-أسفي, Maroc ⵍⵎⵖⵔⵉⴱ المغرب",city
Maple Creek Bistro,Kingston,Kingston,TN,USA,,found_and_geocoded,9 trave,https://www.tripadvisor.com/ShowUserReviews-g55136-d23852298-r959378336-Maple_Creek_Bistro-Kingston_Tennessee.html,46.438207,12.900772,"9, Trava / Trave, Lauco / Lauc, Udine, Friuli-Venezia Giulia, 33029, Italia",restaurant
Ziggie & Mad Dog's,Islamorada,Islamorada,FL,USA,,city_level_geocoded,19 answers to 11 quest,https://www.tripadvisor.com/FAQ-g34346-d1071834-Ziggie_Mad_Dog_s.html,24.9236561,-80.6291479,"Islamorada, Monroe County, Florida, 33036, United States",city
Serrato's Steakhouse,Franklin,Franklin,TN,USA,,city_level_geocoded,tastiest burger to the most renowned cardiologist,https://m.yelp.com/biz/serratos-steakhouse-franklin,35.925206,-86.8689419,"Franklin, Williamson County, Middle Tennessee, Tennessee, United States",city
Le Tub,Hollywood,Hollywood,FL,USA,,found_and_geocoded,s Best Burger,https://www.yelp.com/biz/le-tub-hollywood,52.0124466,4.7100604,"Best Burger, 8, Hoogstraat, Binnenstad, Gouda, Zuid-Holland, Nederland, 2801 HH, Nederland",restaurant
Mr. Mama's,Las Vegas,Las Vegas,NV,USA,,found_and_geocoded,263 trave,https://www.tripadvisor.com/ShowUserReviews-g45963-d2346279-r198935744-Mr_Mamas-Las_Vegas_Nevada.html,43.8415748,12.99909,"Trave, Centinarola, Fano, Pesaro e Urbino, 61032, Italia",restaurant
Henry's Louisiana Grill,Acworth,Acworth,GA,USA,,found_and_geocoded,breakfast in town,https://www.tripadvisor.com/LocationPhotoDirectLink-g29185-d467288-i144237686-Henry_s_Louisiana_Grill-Acworth_Georgia.html,41.0398084,-72.3974885,"A Walk in the Woods Bed & Breakfast, 9680, North Bayview Road, Town of Southold, Suffolk County, New York, 11971, United States",restaurant
The lazy turtle,Oak Island,Oak Island,NC,USA,,found_and_geocoded,151 trave,https://www.tripadvisor.com/ShowUserReviews-g49403-d5092619-r395508400-The_Lazy_Turtle_Oceanfront_Grille-Oak_Island_North_Carolina.html,53.9536718,10.2918073,"151, An der Trave, Bad Segeberg, Kreis Segeberg, Schleswig-Holstein, 23795, Deutschland",restaurant
Seafood Sellers,Homosassa,Homosassa,FL,USA,,city_level_geocoded,,,28.782535,-82.6065272,"Homosassa, Citrus County, Florida, 34448, United States",city
Yam'Tcha,Paris,Paris,,France,,city_level_geocoded,s tastiest burger to the most renowned cardiologist,https://m.yelp.com/biz/yam-tcha-paris,48.8588897,2.320041,"Paris, Île-de-France, France métropolitaine, France",city
Bibi,London,London,,England,,city_level_geocoded,Several different groups of folks have told me to go here now so then venn diagram was strong,https://www.yelp.com/biz/bibi-restaurant-london,51.4893335,-0.1440551,"London, Greater London, England, United Kingdom",city
Yvonne's,Boston,Boston,MA,USA,,city_level_geocoded,- Last Updated July,"https://www.yelp.com/search?find_desc=Yvonne's&find_loc=Boston,+MA",42.3554334,-71.060511,"Boston, Suffolk County, Massachusetts, United States",city
Montbar,Barcelona,Barcelona,,Spain,,city_level_geocoded,229 unbiased reviews of Rest,https://www.tripadvisor.com/Restaurant_Review-g652134-d8448441-Reviews-Restaurante_Montbar_Mar-Platja_d_Aro_Castell_Platja_d_Aro_Costa_Brava_Province_of.html,41.3825802,2.177073,"Barcelona, Barcelonès, Barcelona, Catalunya, España",city
Zero Restaurant,Charleston,Charleston,SC,USA,,city_level_geocoded,"0 George St,",https://www.yelp.com/biz/zero-restaurant-bar-charleston-2,32.7884363,-79.9399309,"Charleston, Charleston County, South Carolina, United States",city
The Gathering Place,Camp Creek,Camp Creek,TN,USA,Greene County,city_level_geocoded,Our weekday morning special offers a great meal at a fantastic price for busy people who have to get the day started,https://www.yelp.com/biz/the-gathering-place-restaurant-grand-rapids-2,36.0873257,-82.7637586,"Camp Creek, Greene County, East Tennessee, Tennessee, United States",city
Montana's,MS Gulf Coast,,MS,USA,Closed - no longer exists,skipped_missing_data,,,,,,failed
P&M pizza,Arnold,Arnold,PA,USA,,city_level_geocoded,"across the street, Lefty",https://sites.google.com/a/pandmpizzainc.com/p-m-pizza/about,40.5795091,-79.7644541,"Arnold, Westmoreland County, Pennsylvania, 15069, United States",city
Bob's Dogs,Oak Island,Oak Island,NC,USA,,found_and_geocoded,228 trave,https://www.tripadvisor.com/ShowUserReviews-g49403-d1853121-r384413269-Bob_s_Dogs-Oak_Island_North_Carolina.html,43.8415748,12.99909,"Trave, Centinarola, Fano, Pesaro e Urbino, 61032, Italia",restaurant
Side Porch,Bartlett,Bartlett,TN,USA,,city_level_geocoded,40 year history and has alway,https://www.yelp.com/biz/side-porch-steak-house-bartlett,35.2045329,-89.8739753,"Bartlett, Shelby County, West Tennessee, Tennessee, United States",city
Sand Dollar,Jacksonville,Jacksonville,FL,USA,,city_level_geocoded,- Last Updated June,"https://www.yelp.com/search?find_desc=Sand+Dollar+Restaurant&find_loc=Jacksonville,+FL",30.3321838,-81.655651,"Jacksonville, Duval County, Florida, United States",city
Salt Trader's,Round Rock,Round Rock,TX,USA,,found_and_geocoded,338 trave,https://www.tripadvisor.com/ShowUserReviews-g56584-d10891019-r474303289-Salt_Traders_Coastal_Cooking-Round_Rock_Texas.html,43.8415748,12.99909,"Trave, Centinarola, Fano, Pesaro e Urbino, 61032, Italia",restaurant
Nuevo Laredo,,,,,Location not specified,skipped_missing_data,,,,,,failed
El Tiempo,Houston,Houston,TX,USA,,found_and_geocoded,"3130 Richmond Ave,",https://www.yelp.com/biz/el-tiempo-cantina-richmond-houston-2,29.7343488,-95.4256566,"El Tiempo Cantina, 3130, Richmond Avenue, Greenway / Upper Kirby, Greenway, Houston, Harris County, Texas, 77098, United States",restaurant
Calhones,Knoxville,Knoxville,TN,USA,,city_level_geocoded,,,35.9603948,-83.9210261,"Knoxville, Knox County, East Tennessee, Tennessee, United States",city
Anatolia Restaurant,West Nashville,Nashville,TN,USA,,found_and_geocoded,"1021 Main St, Paterson, NJ 07503",https://www.yelp.com/biz/anatolia-restaurant-paterson-2,40.8932675,-74.158041,"1021, Main Street, Paterson, Passaic County, New Jersey, 07503, United States",restaurant
Opa,Chattanooga,Chattanooga,TN,USA,,city_level_geocoded,Our new found family members will always leave with full bellies and happy hearts,https://www.yelp.com/biz/opa-chattanooga-2,35.0457219,-85.3094883,"Chattanooga, Hamilton County, East Tennessee, Tennessee, United States",city
Rolf and Daughters,Nashville,Nashville,TN,USA,Location inferred from context,city_level_geocoded,"evolving natural wine list, and house cocktails",https://www.yelp.com/biz/rolf-and-daughters-nashville,36.1622767,-86.7742984,"Nashville, Davidson County, Middle Tennessee, Tennessee, United States",city
Bern's Steakhouse,Tampa,Tampa,FL,USA,,found_and_geocoded,Island Way Grill,"https://www.yelp.com/search?find_desc=Bern's+Steakhouse&find_loc=Clearwater+Beach,+Tampa+Bay,+FL",27.976328,-82.8174038,"Island Way Grill, Island Way, Clearwater, Pinellas County, Florida, 33767, United States",restaurant
Tide Tables,Cortez,Cortez,FL,USA,,city_level_geocoded,just before leaving the mainland and crossing onto Bradenton Beach,https://www.tripadvisor.com/Restaurant_Review-g34154-d6416361-Reviews-Tide_Tables_Restaurant_and_Marina-Cortez_Florida.html,27.4639835,-82.6683316,"Cortez, Manatee County, Florida, 34215, United States",city
Old College Inn,,,,,Location not specified,skipped_missing_data,,,,,,failed
Dwight's Bistro,Jacksonville,Jacksonville,FL,USA,,city_level_geocoded,The escargot are the most tender I,https://www.opentable.com/r/dwights-bistro-jax-beach,30.3321838,-81.655651,"Jacksonville, Duval County, Florida, United States",city
Miss Betty's House of Ribs,Atlanta,Atlanta,GA,USA,Bouldercrest area,city_level_geocoded,,,33.7544657,-84.3898151,"Atlanta, Fulton County, Georgia, United States",city
Stoney Knob Cafe,Weaverville,Weaverville,NC,USA,,found_and_geocoded,061 trave,https://www.tripadvisor.com/ShowUserReviews-g49649-d444046-r411177662-Stoney_Knob_Cafe-Weaverville_North_Carolina.html,43.8415748,12.99909,"Trave, Centinarola, Fano, Pesaro e Urbino, 61032, Italia",restaurant
Glass Onion,Weaverville,Weaverville,NC,USA,,city_level_geocoded,Italian Global Cuisine using the freshest ingredients from local farmers Established in,https://www.yelp.com/biz/glass-onion-weaverville-4,35.6967238,-82.5603625,"Weaverville, Buncombe County, North Carolina, United States",city
Noko,East Nashville,Nashville,TN,USA,,found_and_geocoded,"701 Porter Rd,",https://www.yelp.com/biz/noko-nashville-nashville,44.1495291,-78.5781417,"701, Porter Road, Kawartha Lakes, Central Ontario, Ontario, Canada",restaurant
Spankies,Cookeville,Cookeville,TN,USA,,found_and_geocoded,122 trave,https://www.tripadvisor.com/ShowUserReviews-g54971-d512957-r171542836-Spankies_Bar-Cookeville_Tennessee.html,53.9519282,10.2918498,"122, An der Trave, Bad Segeberg, Kreis Segeberg, Schleswig-Holstein, 23795, Deutschland",restaurant
Heritage Table,Nicklesville,Nicklesville,VA,USA,,city_level_geocoded,s important to us that we take the time to create all our dishes from scratch and source from the best local farms because we truly care about the dishes and ingredients we serve our guests,https://www.yelp.com/biz/the-heritage-table-frisco,32.6862679,-83.085428,"Nicklesville, Wilkinson County, Georgia, United States",city
Snoring Bear,Walland,Walland,TN,USA,,city_level_geocoded,We are a family oriented small town diner with a twist to our food,https://www.yelp.com/biz/snoring-bear-diner-walland,35.7281419,-83.8132305,"Walland, Blount County, East Tennessee, Tennessee, 37886, United States",city
The Pottery House,Pigeon Forge,Pigeon Forge,TN,USA,,found_and_geocoded,528 trave,https://www.tripadvisor.com/ShowUserReviews-g55270-d1792373-r827040002-The_Pottery_House_Cafe_and_Grille-Pigeon_Forge_Tennessee.html,43.8415748,12.99909,"Trave, Centinarola, Fano, Pesaro e Urbino, 61032, Italia",restaurant
Doc Fords,St. Petersburg,St. Petersburg,FL,USA,Multiple area locations,found_and_geocoded,672 trave,https://www.tripadvisor.com/ShowUserReviews-g34607-d21054591-r829000291-Doc_Ford_s_Rum_Bar_Grille_St_Pete_Pier-St_Petersburg_Florida.html,43.8415748,12.99909,"Trave, Centinarola, Fano, Pesaro e Urbino, 61032, Italia",restaurant
Billy's Stone Crab,Tierra Verde,Tierra Verde,FL,USA,,found_and_geocoded,finest seafood,https://www.yelp.com/biz/billys-stone-crab-tierra-verde?start=20,25.7664344,-80.1898861,"Truluck's Ocean's Finest Seafood and Crab, 777, Brickell Avenue, Torch of Friendship, Miami, Miami-Dade County, Florida, 33131, United States",restaurant
The Betsy Hotel restaurant,Tbilisi,Tbilisi,,Georgia,Country of Georgia,city_level_geocoded,,,41.6934591,44.8014495,"თბილისი, საქართველო",city
Black Sheep Bistro,Vergennes,Vergennes,VT,USA,,city_level_geocoded,,,44.1681052,-73.2518037,"Vergennes, Addison County, Vermont, United States",city
Mary's Restaurant,Bristol,Bristol,VT,USA,,found_and_geocoded,97 trave,https://www.tripadvisor.com/ShowUserReviews-g57197-d2136245-r118745843-Mary_s_Restaurant-Bristol_Vermont.html,46.4395255,12.899055,"97, Trava / Trave, Lauco / Lauc, Udine, Friuli-Venezia Giulia, 33029, Italia",restaurant
Lost Dog Cafe,Folly Beach,Folly Beach,SC,USA,,found_and_geocoded,"106 W Huron St,",https://www.yelp.com/biz/lost-dog-cafe-folly-beach,41.894911,-87.6315162,"106, West Huron Street, River North, Near North Side, Chicago, Cook County, Illinois, 60654, United States",restaurant
Cayenne Prime,Nashville,Nashville,TN,USA,,city_level_geocoded,,,36.1622767,-86.7742984,"Nashville, Davidson County, Middle Tennessee, Tennessee, United States",city
Lima Bistro,Aruba,Aruba,,,,city_level_geocoded,My question for those who have dined at either of these,https://www.tripadvisor.com/ShowTopic-g147247-i144-k14494470-Lima_Bistro_Azar-Aruba.html,12.5013629,-69.9618475,"Aruba, Nederland",city
Beaufort Grocery Company,Beaufort,Beaufort,NC,USA,,found_and_geocoded,818 trave,https://www.tripadvisor.com/ShowUserReviews-g48947-d462179-r170285543-Beaufort_Grocery_CO-Beaufort_North_Carolina.html,43.8415748,12.99909,"Trave, Centinarola, Fano, Pesaro e Urbino, 61032, Italia",restaurant
Ruddy Duck,Morehead City,Morehead City,NC,USA,Closed,found_and_geocoded,"509 Evans St,",https://www.yelp.com/biz/the-ruddy-duck-tavern-morehead-city,34.7199574,-76.7094385,"509, Evans Street, Morehead City, Carteret County, North Carolina, 28557, United States",restaurant
Chef & the Farmer,Kinston,Kinston,NC,USA,Closed,found_and_geocoded,"120 W Gordon St,",https://www.yelp.com/biz/chef-and-the-farmer-kinston,35.261389,-77.5819638,"Chef and the Farmer, 120, West Gordon Street, George Washington Carver, Kinston, Lenoir County, North Carolina, 28501, United States",restaurant
El Gaucho Steakhouse,Aruba,Aruba,,,,city_level_geocoded,I have heard its improved but haven,https://www.tripadvisor.com/ShowTopic-g147247-i144-k13889202-El_Gaucho_Steakhouse-Aruba.html,12.5013629,-69.9618475,"Aruba, Nederland",city
Le Recaimer,Paris,Paris,,France,4 Rue Juliette Récamier,city_level_geocoded,,,48.8588897,2.320041,"Paris, Île-de-France, France métropolitaine, France",city
Cest La Vie,Sarasota,Sarasota,FL,USA,1553 Main St,city_level_geocoded,This is the best french bistro experience in,https://www.opentable.com/r/cest-la-vie-sarasota,27.3365805,-82.5308545,"Sarasota, Sarasota County, Florida, United States",city
The Waterfront Restaurant,Anna Maria,Anna Maria,FL,USA,111 S Bay Blvd,city_level_geocoded,laid-back Florida the way it used to be,https://www.yelp.com/biz/the-waterfront-restaurant-anna-maria,27.529362,-82.7324345,"Anna Maria island, Manatee County, Florida, 34216, United States",city
black & blue Crab and Steak,Albany,Albany,NY,USA,1470 Western Ave,city_level_geocoded,,,42.6511674,-73.754968,"City of Albany, Albany County, New York, United States",city
Le Deux Maggots,Paris,Paris,,France,6 Pl. Saint-Germain des Prés,city_level_geocoded,,,48.8588897,2.320041,"Paris, Île-de-France, France métropolitaine, France",city
Restaurant Guy Savoy,Paris,Paris,,France,11 Quai de Conti,city_level_geocoded,s tastiest burger to the most renowned cardiologist,https://www.yelp.com/search?find_desc=Restaurant+Guy+Savoy&find_loc=Saint-Germain-Des-Pr%C3%A9s%2C+Paris,48.8588897,2.320041,"Paris, Île-de-France, France métropolitaine, France",city
Perry's Steakhouse,Houston,Houston,TX,USA,,city_level_geocoded,One if our best experiences at,https://www.opentable.com/r/perrys-steakhouse-and-grille-champions-houston,29.7589382,-95.3676974,"Houston, Harris County, Texas, United States",city
Anatolian Bistro,Herndon,Herndon,VA,USA,,city_level_geocoded,Serving the best dishes Halal in,https://www.yelp.com/biz/anatolian-bistro-herndon-4,38.9695316,-77.3859479,"Herndon, Fairfax County, Virginia, United States",city
Oyster Rock,Calabash,Calabash,NC,USA,,city_level_geocoded,,,33.8907278,-78.5683446,"Calabash, Brunswick County, North Carolina, United States",city
Bistro St Michael's,St. Michael's,St. Michael's,MD,USA,,city_level_geocoded,,,39.4513644,-76.8187461,"Saint Michael's Church, Academy Lane, Cherry Valley, Reisterstown, Baltimore County, Maryland, 21136, United States",city
Sam Jones BBQ,Winterville,Winterville,NC,USA,,found_and_geocoded,193 trave,https://www.tripadvisor.com/ShowUserReviews-g49681-d8852801-r477807587-Sam_Jones_BBQ-Winterville_North_Carolina.html,43.8415748,12.99909,"Trave, Centinarola, Fano, Pesaro e Urbino, 61032, Italia",restaurant
